UID	Country	City	Place name	Official place	Place number	Free bikes	Total bikes	Place type	Comment	Setpoint bikes	Bike racks	Show in customer map	Battery voltage	Solar voltage	Location marking	Online	Time stamp	Creation date
"320242489"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 828205"	"0"	""	"1"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-26 06:15	
"320237084"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 46545"	"0"	""	"1"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-26 06:01	
"320236439"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 46500"	"0"	""	"1"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-26 05:58	
"320236039"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 46600"	"0"	""	"1"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-26 05:56	
"320233287"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 46828"	"0"	""	"1"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-26 05:47	
"349455"	"OVO Bikes Glasgow"	"Glasgow"	"Cessnock Subway Station - ELECTRIC"	"1"	"8444"	"1"	"1"	"E-bike station"	"2023-10-21 08:24 Electric bikes do not work at these station - AJS    2023-09-09 09:46 People reported vandalism in this station, bikes are titled upwards and taken to be used - AJS    54496,54492,53098,54623    01.09.23 18:15:30:   01.09.23 18:15:30: Vandalism  09.09.23 9:37:42:   09.09.23 9:37:42: Vandalism"	"6"	"6"	"1"	"13,89"	"0,00"	"smart_sign"	"1"	2023-11-26 05:45	
"320232439"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 46520"	"0"	""	"0"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-26 05:45	
"320231554"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 825602"	"0"	""	"1"	"1"	"E-Single Bike Station"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-26 05:42	
"320230994"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 828089"	"0"	""	"1"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-26 05:40	
"7145152"	"OVO Bikes Glasgow"	"Glasgow"	"Shields Road"	"1"	"8403"	"11"	"11"	"E-bike station"	"54528,53605,53629,53616 10.06.23 16:11:01:  10.06.23 16:11:01: Rack Problem"	"12"	"8"	"1"	"13,47"	"0,00"	"smart_sign"	"1"	2023-11-26 04:52	
"349460"	"OVO Bikes Glasgow"	"Glasgow"	"Queens Park Railway Station - ELECTRIC"	"1"	"8447"	"5"	"7"	"E-bike station"	"54430,54533,54602,54592,54545,54609,54539 26.06.23 10:47:39:  26.06.23 10:47:39: Air Pump Damaged"	"8"	"8"	"1"	"12,42"	"0,00"	"smart_sign"	"1"	2023-11-26 04:44	
"19548440"	"OVO Bikes Glasgow"	"Glasgow"	"Possil Health Centre (Saracen Street) - ELECTRIC"	"1"	"8414"	"2"	"3"	"E-bike station"	"2023-10-31 11:50   Charges and Wires ripped out  Station in desperate need of repairs!  -mapf  54505,54431,54478,54446    31.10.23 8:41:44:   31.10.23 8:41:44: Vandalism"	"12"	"8"	"1"	"10,73"	"0,00"	"smart_sign"	"0"	2023-11-26 04:37	
"3812776"	"OVO Bikes Glasgow"	"Glasgow"	"Alexandra Park (south entrance) Alexandra Parade Railway Station"	"1"	"8457"	"1"	"1"	"Standard place"	" 17.07.23 5:06:03:  17.07.23 5:06:03: Terminal Offline 13.11.23 19:45:28:  13.11.23 19:45:28: Rack Problem"	"6"	"8"	"1"	""	""	"smart_sign"	"0"	2023-11-26 04:16	
